imdb_id,title,type,origin,rating,runtime_mins,year,genres,votes
tt11238096,"Big Shot","TV Series",Disney,7.4,NULL,2021,"Comedy, Drama, Sport",5892
tt11240506,"Nobody Sleeps in the Woods Tonight",Movie,Netflix,4.9,102,2020,"Fantasy, Horror, Mystery",15411
tt11241096,"The Big Fib","TV Series",Disney,6,25,2020,Game-Show,108
tt11242162,Rise,Movie,Disney,7,113,2022,"Biography, Drama, Sport",8869
tt11243536,"Holiday Secrets","TV Mini Series",Netflix,6.5,NULL,2019,Drama,1365
tt11248800,"Ronny Chieng: Asian Comedian Destroys America","TV Special",Netflix,7.4,63,2019,Comedy,3876
tt11252254,"From Scratch","TV Mini Series",Netflix,7.9,53,2022,"Drama, Romance",19144
tt11262142,Bandidos,"TV Series",Netflix,6.6,45,2024,"Action, Adventure, Crime, Drama, Mystery, Thriller",4273
tt11262978,"Amit Tandon: Family Tandoncies","TV Special",Netflix,7.2,72,2019,Comedy,295
tt11269026,"Mother's Love",Movie,Netflix,5.8,110,2022,Comedy,4035
tt11269704,"Michelle Wolf: Joke Show","TV Special",Netflix,7.3,59,2019,Comedy,1947
tt11269714,"Who Killed Little Gregory?","TV Mini Series",Netflix,7.4,60,2019,"Documentary, Crime",3463
tt11269886,Summertime,"TV Series",Netflix,6.1,40,2020,"Drama, Romance",3305
tt11271990,"Ali & the Queens",Movie,Netflix,7,100,2021,"Comedy, Drama",1746
tt11274492,"The Out-Laws",Movie,Netflix,5.4,95,2023,"Action, Comedy, Crime, Romance",40218
tt11278476,"Rescued by Ruby",Movie,Netflix,7.2,90,2022,"Biography, Drama, Family",12631
tt11284280,Cadaver,Movie,Netflix,5.2,86,2020,"Drama, Horror, Thriller",13159
tt11286314,"Don't Look Up",Movie,Netflix,7.2,138,2021,"Comedy, Drama, Sci-Fi",648871
tt11301642,Ethos,"TV Series",Netflix,8.4,45,2020,Drama,31158
tt11301834,"Crazy Delicious","TV Series",Netflix,6.7,NULL,2020,"Documentary, Game-Show",1230
tt11301886,"Rebel Ridge",Movie,Netflix,6.8,131,2024,"Action, Crime, Drama, Thriller",95201
tt11306932,Noise,Movie,Netflix,6.6,105,2022,Drama,1297
tt11307176,"The Confession Killer","TV Mini Series",Netflix,7.4,50,2019,"Documentary, Crime",10920
tt11307814,"Red Dot",Movie,Netflix,5.5,86,2021,"Drama, Horror, Thriller",15511
tt11310004,"The First Temptation of Christ",Movie,Netflix,5,46,2019,Comedy,3597
tt11311302,"Vikings: Valhalla","TV Series",Netflix,7.4,45,2022,"Action, Adventure, Drama, History, Romance, War",68430
tt11313054,"Kevin Hart: Don't F**k This Up","TV Series",Netflix,6.5,30,2019,"Documentary, Biography",2212
tt11313076,"Jack Whitehall: Christmas with My Father","TV Special",Netflix,6,64,2019,"Documentary, Comedy",1135
tt11313944,"Layla Majnun",Movie,Netflix,6.1,119,2021,"Drama, Romance",340
tt11316680,"Trees of Peace",Movie,Netflix,6.6,97,2021,Drama,2004
tt11318602,"Don't F**k with Cats: Hunting an Internet Killer","TV Mini Series",Netflix,8,60,2019,"Documentary, Crime, Mystery",67077
tt11318624,"John Mulaney & the Sack Lunch Bunch","TV Movie",Netflix,7.3,70,2019,"Comedy, Family, Musical",4179
tt11324024,"After the Raid",Short,Netflix,4.7,24,2019,"Documentary, Short",158
tt11332750,"Alien Xmas","TV Special",Netflix,6.2,40,2020,"Animation, Short, Adventure, Comedy, Family, Fantasy, Sci-Fi",1741
tt11332850,"Robin Robin",Short,Netflix,7,32,2021,"Animation, Short, Adventure, Comedy, Family, Musical",7358
tt11337908,Maid,"TV Mini Series",Netflix,8.3,60,2021,Drama,114876
tt11343600,"Brand New Cherry Flavor","TV Mini Series",Netflix,7.1,43,2021,"Drama, Horror, Mystery, Thriller",20966
tt11353562,"The Irishman: In Conversation",Short,Netflix,7.4,23,2019,"Documentary, Short",2041
tt11363540,"This Is Not a Comedy",Movie,Netflix,5.1,105,2021,"Comedy, Drama",421
tt11364112,Beauty,Movie,Netflix,4.2,95,2022,"Drama, Romance",910
tt1136617,"The Killer",Movie,Netflix,6.7,118,2023,"Action, Adventure, Crime, Drama, Thriller",215031
tt11378264,"Mucho Mucho Amor: The Legend of Walter Mercado",Movie,Netflix,7.3,96,2020,"Documentary, Biography",3562
tt11384300,Furies,"TV Series",Netflix,6.3,45,2024,"Action, Crime, Drama",3995
tt11385066,"The App",Movie,Netflix,2.8,78,2019,"Drama, Sci-Fi, Thriller",1479
tt11388278,"A Week Away",Movie,Netflix,5.8,94,2021,"Drama, Family, Musical",5851
tt11388406,"Horse Girl",Movie,Netflix,6,103,2020,"Drama, Mystery, Thriller",21503
tt11388580,"Miss Americana",Movie,Netflix,7.4,85,2020,"Documentary, Biography, Drama, Music",26166
tt11390036,"A Fall from Grace",Movie,Netflix,5.9,120,2020,"Crime, Drama, Mystery, Thriller",18315
tt11390530,"Sex, Explained","TV Mini Series",Netflix,6.9,20,2020,Documentary,3663
tt11394180,"Dick Johnson Is Dead",Movie,Netflix,7.4,89,2020,"Documentary, Biography, Drama",7527
tt11394296,"Into the Deep",Movie,Netflix,6.5,90,2020,"Documentary, Biography, Crime, Mystery",4571
tt11394338,"Giving Voice",Movie,Netflix,7,87,2020,Documentary,359
tt11394650,"On the Record",Movie,HBO,7.2,95,2020,Documentary,1018
tt11423784,"The Disciple",Movie,Netflix,7.1,129,2020,"Drama, Music",3271
tt11426572,"Wedding Season",Movie,Netflix,6.4,98,2022,"Comedy, Romance",12056
tt11426660,Cheer,"TV Series",Netflix,8,60,2020,"Documentary, Sport",7151
tt11428926,"L'ultimo paradiso",Movie,Netflix,5.7,107,2021,"Drama, Romance",1775
tt11434862,"Until Dawn","TV Series",Netflix,2.6,22,2020,"Comedy, Reality-TV",182
tt11434874,"Arashi's Diary: Voyage","TV Mini Series",Netflix,7.1,NULL,2019,"Documentary, Music",57
tt11459860,"Rose Matafeo: Horndog","TV Special",HBO,6.4,55,2020,Comedy,350
tt11460744,"Nailed It! Germany","TV Series",Netflix,5.7,NULL,2020,Reality-TV,119
tt11460976,"Prime Time",Movie,Netflix,5.2,93,2021,"Drama, Thriller",2066
tt11464826,"The Social Dilemma",Movie,Netflix,7.6,94,2020,"Documentary, Drama",92771
