imdb_id,status
tt5569404,Concluded
tt18271440,Concluded
tt26340238,Concluded
tt15506958,Concluded
tt13433814,Cancelled
tt22497928,Concluded
tt22297684,Concluded
tt15441160,Cancelled
tt26229508,Cancelled
tt19724076,Concluded
tt26368084,Concluded
tt21206964,Cancelled
tt26451138,Concluded
tt20565150,Concluded
tt26542635,Concluded
tt17050700,Concluded
tt23731242,Cancelled
tt21092364,Concluded
tt19788500,Concluded
tt26008888,Concluded
tt13918776,Concluded
tt26931883,Concluded
tt16402422,Concluded
tt19394168,Cancelled
tt10814036,Cancelled
tt26238218,Cancelled
tt15471900,Concluded
tt18382028,Cancelled
tt18273742,Cancelled
tt16163746,Cancelled
tt26940348,Concluded
tt26451131,Concluded
tt26690964,Concluded
tt26745756,Concluded
tt19050552,Concluded
tt26766489,Concluded
tt22001792,Concluded
tt18831118,Concluded
tt17491088,Concluded
tt14403178,Concluded
tt27124268,Concluded
tt27191658,Concluded
tt26350158,Cancelled
tt26687035,Cancelled
tt27206017,Cancelled
tt27128307,Cancelled
tt15055202,Cancelled
tt27206011,Cancelled
tt27448863,Cancelled
tt15469192,Concluded
tt14490706,Concluded
tt13064902,Concluded
tt11948642,Cancelled
tt27443477,Concluded
tt27146569,Cancelled
tt17013106,Concluded
tt20268688,Cancelled
tt14494938,Concluded
tt15473010,Cancelled
tt27612322,Concluded
tt27613233,Cancelled
tt19106798,Concluded
tt19037620,Concluded
tt22326484,Concluded
tt27664503,Cancelled
tt17550826,Concluded
tt25375244,Concluded
tt19503218,Concluded
tt13929756,Concluded
tt19382854,Concluded
tt22297178,Concluded
tt26315487,Concluded
tt26315488,Concluded
tt27787160,Concluded
tt20833168,Concluded
tt22696582,Concluded
tt27738618,Cancelled
tt14173900,Concluded
tt19296314,Concluded
tt15567320,Concluded
tt27502465,Concluded
tt27921622,Cancelled
tt27951663,Cancelled
tt17361756,Cancelled
tt12923792,Concluded
tt10241858,Cancelled
tt18079106,Concluded
tt28210839,Concluded
tt27853283,Cancelled
tt26777035,Concluded
tt28253602,Cancelled
tt28022865,Cancelled
tt27999986,Cancelled
tt27995116,Cancelled
tt27640679,Cancelled
tt28098032,Cancelled
tt27810455,Concluded
tt15402976,Concluded
tt11737520,Concluded
tt14690802,Concluded
tt17524566,Concluded
tt26258200,Concluded
tt1405354,Concluded
tt28306965,Cancelled
tt27790130,Cancelled
tt26770113,Concluded
tt21875120,Concluded
tt28347808,Concluded
tt28654741,Concluded
tt27787857,Concluded
tt28550654,Concluded
tt23730842,Cancelled
tt14833612,Concluded
tt15040054,Cancelled
tt28687401,Concluded
tt27132016,Cancelled
tt28336217,Cancelled
tt21627438,Cancelled
tt21627436,Cancelled
tt28658091,Cancelled
tt24578052,Cancelled
tt28637385,Cancelled
tt28711468,Cancelled
tt27995115,Cancelled
tt29040715,Cancelled
tt16287480,Cancelled
tt23477248,Cancelled
tt28521881,Cancelled
tt19072562,Cancelled
tt24245988,Cancelled
tt29195231,Cancelled
tt24132876,Concluded
tt27494436,Concluded
tt27849953,Cancelled
tt27591984,Cancelled
tt11097240,Cancelled
tt13309742,Cancelled
tt16270188,Cancelled
tt22264252,Cancelled
tt27423738,Cancelled
tt15040002,Cancelled
tt29311648,Cancelled
tt28019928,Cancelled
tt26258202,Cancelled
tt28951022,Concluded
tt19723614,Concluded
