"year","origin","genre","count"
"2024","Netflix","Fantasy","36"
"2024","Netflix","Musical","5"
"2024","HBO","Action","1"
"2024","HBO","Adventure","1"
"2024","HBO","Drama","1"
"2024","HBO","Sci-Fi","1"
"2020","Amazon","Crime","2"
"2020","Amazon","Drama","5"
"2020","Amazon","Mystery","5"
"2020","Amazon","Thriller","2"
"2019","Netflix","Horror","20"
"2021","Disney","Comedy","25"
"2021","Disney","Family","17"
"2020","Netflix","Sport","16"
"2021","Netflix","History","27"
"2020","HBO","Drama","4"
"2021","HBO","Adventure","1"
"2021","HBO","Drama","3"
"2021","HBO","Fantasy","1"
"2021","HBO","Mystery","1"
"2021","HBO","Sci-Fi","2"
"2021","HBO","Thriller","2"
"2022","Netflix","Short","24"
"2022","Netflix","Crime","135"
"2022","Netflix","Musical","9"
"2024","Netflix","Action","65"
"2022","Netflix","Romance","100"
"2020","Disney","Biography","3"
"2020","Disney","Drama","11"
"2020","Disney","Sport","1"
"2020","HBO","Fantasy","5"
"2022","Netflix","Music","25"
"2017","Netflix","Animation","21"
"2017","Netflix","Comedy","125"
"2017","Netflix","Family","24"
"2017","Netflix","Western","6"
"2020","Netflix","History","13"
"2025","Netflix","Comedy","95"
"2023","Netflix","Crime","109"
"2018","Amazon","Adventure","2"
"2018","Amazon","Comedy","4"
"2018","Amazon","Family","2"
"2022","Disney","Sci-Fi","12"
"2022","Disney","Crime","3"
"2022","Disney","Mystery","7"
"2021","Netflix","Musical","16"
"2019","HBO","Reality-TV","1"
"2019","HBO","Romance","2"
"2019","Netflix","Musical","6"
"2020","HBO","Documentary","5"
"2020","HBO","Crime","1"
"2024","Netflix","Thriller","90"
"2020","HBO","Short","2"
"2020","HBO","Music","1"
"2020","HBO","Talk-Show","2"
"2020","HBO","Reality-TV","4"
"2021","Disney","Documentary","15"
"2021","Disney","History","3"
"2019","HBO","Documentary","1"
"2020","HBO","Game-Show","4"
"2024","Netflix","Romance","60"
"2024","Netflix","Sci-Fi","29"
"2021","Disney","Biography","2"
"2020","HBO","Action","2"
"2020","HBO","Musical","1"
"2020","HBO","Sci-Fi","3"
"2020","Disney","Sci-Fi","4"
"2020","Disney","Talk-Show","1"
"2022","Disney","Documentary","23"
"2022","Disney","Biography","5"
"2019","Disney","Reality-TV","3"
"2019","Hulu","Documentary","1"
"2021","Disney","Sport","4"
"2022","Disney","Sport","4"
"2022","Netflix","Biography","30"
"2020","Netflix","Game-Show","9"
"2020","Netflix","Short","23"
"2021","Netflix","Short","29"
"2020","Hulu","Documentary","1"
"2020","Hulu","Biography","3"
"2020","Amazon","Adventure","1"
"2020","Amazon","Comedy","4"
"2020","Amazon","Family","1"
"2020","Amazon","Fantasy","1"
"2023","Netflix","History","41"
"2017","Netflix","Short","11"
"2017","Netflix","Mystery","20"
"2021","Netflix","Music","16"
"2022","Disney","Reality-TV","8"
"2022","Disney","Animation","15"
"2019","Amazon","Action","4"
"2019","Amazon","Comedy","8"
"2019","Amazon","Sci-Fi","4"
"2020","Netflix","Western","3"
"2023","Netflix","Documentary","126"
"2025","Netflix","Crime","69"
"2025","Netflix","Mystery","34"
"2025","Netflix","Thriller","57"
"2020","Disney","Music","3"
"2020","Disney","Musical","5"
"2016","Amazon","Adventure","2"
"2016","Amazon","Biography","2"
"2016","Amazon","Drama","13"
"2016","Amazon","History","4"
"2020","Hulu","Adventure","2"
"2020","Hulu","Reality-TV","1"
"2024","Disney","Action","4"
"2024","Disney","Adventure","4"
"2024","Disney","Fantasy","3"
"2024","Disney","Mystery","1"
"2024","Disney","Sci-Fi","4"
"2024","Disney","Thriller","1"
"2018","Amazon","Biography","2"
"2021","Disney","Fantasy","15"
"2021","Disney","Horror","2"
"2021","Disney","Thriller","2"
"2020","Amazon","Horror","1"
"2020","Amazon","Sci-Fi","3"
"2023","Disney","Action","8"
"2023","Disney","Adventure","17"
"2023","Disney","Family","19"
"2023","Disney","Fantasy","10"
"2024","Netflix","Documentary","147"
"2017","Hulu","Action","3"
"2017","Hulu","Drama","5"
"2017","Hulu","Sci-Fi","3"
"2017","Netflix","Fantasy","21"
"2017","Netflix","Horror","15"
"2019","Netflix","Talk-Show","1"
"2020","Amazon","Documentary","1"
"2018","Disney","Animation","2"
"2018","Disney","Short","2"
"2018","Disney","Comedy","2"
"2020","Netflix","News","1"
"2022","Disney","Thriller","3"
"2023","Netflix","Mystery","65"
"2020","Disney","Mystery","2"
"2016","Amazon","Comedy","10"
"2016","Amazon","Family","1"
"2024","Netflix","Sport","42"
"2020","Disney","Western","1"
"2023","Disney","Mystery","5"
"2023","Disney","Sci-Fi","9"
"2023","Disney","Thriller","3"
"2021","Disney","Romance","1"
"2021","Disney","War","1"
"2021","Netflix","Reality-TV","43"
"2022","Disney","Short","10"
