"imdb_id","origin","year","genre","rating","votes","status"
"tt4834206","Netflix","2017","Comedy","7.7","70423","Concluded"
"tt4834206","Netflix","2017","Drama","7.7","70423","Concluded"
"tt4834206","Netflix","2017","Family","7.7","70423","Concluded"
"tt4834206","Netflix","2017","Mystery","7.7","70423","Concluded"
"tt3322310","Netflix","2017","Action","6.4","146139","Cancelled"
"tt3322310","Netflix","2017","Adventure","6.4","146139","Cancelled"
"tt3322310","Netflix","2017","Crime","6.4","146139","Cancelled"
"tt3322310","Netflix","2017","Fantasy","6.4","146139","Cancelled"
"tt3322310","Netflix","2017","Sci-Fi","6.4","146139","Cancelled"
"tt1837492","Netflix","2017","Drama","7.4","332172","Concluded"
"tt1837492","Netflix","2017","Mystery","7.4","332172","Concluded"
"tt1837492","Netflix","2017","Thriller","7.4","332172","Concluded"
"tt6928052","Netflix","2017","Action","7.1","2833","Cancelled"
"tt6928052","Netflix","2017","Adventure","7.1","2833","Cancelled"
"tt6928052","Netflix","2017","Comedy","7.1","2833","Cancelled"
"tt6928052","Netflix","2017","Drama","7.1","2833","Cancelled"
"tt6928052","Netflix","2017","Family","7.1","2833","Cancelled"
"tt6928052","Netflix","2017","Mystery","7.1","2833","Cancelled"
"tt5503718","Netflix","2017","Drama","6.7","19520","Cancelled"
"tt5503718","Netflix","2017","Thriller","6.7","19520","Cancelled"
"tt6076336","Netflix","2017","Adventure","6.5","7630","Cancelled"
"tt6076336","Netflix","2017","Comedy","6.5","7630","Cancelled"
"tt6076336","Netflix","2017","Drama","6.5","7630","Cancelled"
"tt6076336","Netflix","2017","Family","6.5","7630","Cancelled"
"tt6076336","Netflix","2017","Mystery","6.5","7630","Cancelled"
"tt6076336","Netflix","2017","Romance","6.5","7630","Cancelled"
"tt6076336","Netflix","2017","Thriller","6.5","7630","Cancelled"
"tt5290382","Netflix","2017","Crime","8.6","377430","Cancelled"
"tt5290382","Netflix","2017","Drama","8.6","377430","Cancelled"
"tt5290382","Netflix","2017","Mystery","8.6","377430","Cancelled"
"tt5290382","Netflix","2017","Thriller","8.6","377430","Cancelled"
"tt5675620","Netflix","2017","Action","8.4","290813","Cancelled"
"tt5675620","Netflix","2017","Crime","8.4","290813","Cancelled"
"tt5675620","Netflix","2017","Drama","8.4","290813","Cancelled"
"tt5675620","Netflix","2017","Thriller","8.4","290813","Cancelled"
"tt2261227","Netflix","2018","Action","7.9","198375","Concluded"
"tt2261227","Netflix","2018","Adventure","7.9","198375","Concluded"
"tt2261227","Netflix","2018","Drama","7.9","198375","Concluded"
"tt2261227","Netflix","2018","Sci-Fi","7.9","198375","Concluded"
"tt5232792","Netflix","2018","Adventure","7.3","110747","Cancelled"
"tt5232792","Netflix","2018","Drama","7.3","110747","Cancelled"
"tt5232792","Netflix","2018","Family","7.3","110747","Cancelled"
"tt5232792","Netflix","2018","Mystery","7.3","110747","Cancelled"
"tt5232792","Netflix","2018","Sci-Fi","7.3","110747","Cancelled"
"tt7692572","Netflix","2017","Drama","5.9","147","Cancelled"
"tt7692572","Netflix","2017","Family","5.9","147","Cancelled"
"tt8021824","Netflix","2018","Drama","6.3","6497","Cancelled"
"tt8021824","Netflix","2018","Horror","6.3","6497","Cancelled"
"tt8021824","Netflix","2018","Mystery","6.3","6497","Cancelled"
"tt8021824","Netflix","2018","Romance","6.3","6497","Cancelled"
"tt8021824","Netflix","2018","Sci-Fi","6.3","6497","Cancelled"
"tt8021824","Netflix","2018","Thriller","6.3","6497","Cancelled"
"tt7569592","Netflix","2018","Drama","7.4","115726","Cancelled"
"tt7569592","Netflix","2018","Fantasy","7.4","115726","Cancelled"
"tt7569592","Netflix","2018","Horror","7.4","115726","Cancelled"
"tt7569592","Netflix","2018","Mystery","7.4","115726","Cancelled"
"tt7569592","Netflix","2018","Thriller","7.4","115726","Cancelled"
"tt8714904","Netflix","2018","Biography","8.3","99040","Cancelled"
"tt8714904","Netflix","2018","Crime","8.3","99040","Cancelled"
"tt8714904","Netflix","2018","Drama","8.3","99040","Cancelled"
"tt8714904","Netflix","2018","Thriller","8.3","99040","Cancelled"
"tt6898970","Netflix","2018","Crime","6.8","9328","Cancelled"
"tt6898970","Netflix","2018","Drama","6.8","9328","Cancelled"
"tt6898970","Netflix","2018","Fantasy","6.8","9328","Cancelled"
"tt8295472","Netflix","2019","Drama","6.7","35447","Cancelled"
"tt8295472","Netflix","2019","Fantasy","6.7","35447","Cancelled"
"tt8295472","Netflix","2019","Horror","6.7","35447","Cancelled"
"tt7949204","Netflix","2019","Drama","6.4","10307","Cancelled"
"tt7949204","Netflix","2019","Fantasy","6.4","10307","Cancelled"
"tt7949204","Netflix","2019","Horror","6.4","10307","Cancelled"
"tt7949204","Netflix","2019","Mystery","6.4","10307","Cancelled"
"tt7949204","Netflix","2019","Thriller","6.4","10307","Cancelled"
"tt8778064","Netflix","2019","Drama","7.1","40787","Cancelled"
"tt8778064","Netflix","2019","Mystery","7.1","40787","Cancelled"
"tt8778064","Netflix","2019","Sci-Fi","7.1","40787","Cancelled"
